[00:00] 用声音，[00:01] 碰撞世界。
[00:03] 生动活泼。
[00:11] 生动早咖啡，与你轻松同步日常
[00:13] 生活与商业世界。
[00:17] 嗨，各位早上好呀，今天是2026年
[00:20] 的4月10号，星期五，这里是生动早
[00:22] 咖啡，我是来自生动活泼的梦依。
[00:26] 阿里为什么又针对AI进行了组织架构上的
[00:28] 调整？
[00:30] 星巴克中国的门店即将来临怎样的变化？
[00:33] 今天节目的上半部分，就会来回答这些问题。
[00:36] 那在今天节目后半段的咖啡豆回复时间里，
[00:39] 我们要来回复听友Popi的投稿。
[00:42] 他说最近去看了电影《挽救计划》，
[00:45] 在影片开始前一连串的logo里，
[00:47] 他印象最深的就是米高梅制片厂的狮吼片头。
[00:52] 但是他说自己已经想不起来，
[00:54] 上一个用这个狮吼片头的电影是哪一部了。
[00:58] 那除了电影，他还说道自己见过这个品牌
[01:00] 在不同地方的酒店。
[01:01] 他想知道这个经典的狮吼logo，
[01:04] 为什么在大银幕上越来越少见了？
[01:07] 做电影的米高梅和美高梅酒店都是MGM，
[01:12] 他们有什么关联吗？
[01:13] 那我们在几条简短的商业科技动态之后，
[01:16] 就会一起来回答这些问题。
[01:26] 阿里再次围绕AI调整组织架构。
[01:29] 4月8号，阿里巴巴的CEO吴泳铭发布内部通知，
[01:32] 宣布成立阿里巴巴集团技术委员会，
[01:36] 由他本人担任组长。
[01:38] 其他的成员还包括了多位阿里的高管，
[01:40] 通义实验室也升级成为通义大模型事业部。
[01:45] 上个月阿里刚刚成立了名字叫做
[01:47] Alibaba Token Hub的新事业群，
[01:50] 整合了通义实验室、千问事业部等多个部门，
[01:53] 由吴泳铭直接负责。
[01:56] 36氪的分析认为，技术委员会的设立，
[01:58] 核心的目的是在模型、云还有基础实施
[02:01] 三条业务线之间建立一个优先级的决策中心，
[02:05] 解决公司内部资源争夺和协调成本的问题。
[02:08] 通义从实验室升级为事业部，
[02:11] 也可能意味着考核方式从出成果、
[02:14] 发论文转向了收入和市场等等商业化的因素。
[02:19] Meta重组后的AI团队发布首个AI模型。
[02:23] 4月8号，Meta发布了新的AI模型
[02:26] Muse Spark，这是Meta超级智能实验室，
[02:29] 成立九个月以来推出的第一个模型。
[02:32] Muse Spark将为Meta AI聊天助手提供支持，
[02:35] 并在未来几周之内部署到Meta旗下的
[02:38] 社交媒体以及雷朋智能眼镜上。
[02:41] 和此前开源的Llama系列不同，
[02:43] Muse Spark是一个闭源模型。
[02:46] 去年Meta开源模型Llama 4发布之后，
[02:49] 表现不及预期，在开发者群体里反响平淡。
[02:52] 扎克伯格随后大幅度的调整了AI部门，
[02:56] 花费140多亿美元投资Scale AI，
[02:59] 并且招募来了Scale AI的CEO担任
[03:01] Meta的首席AI官，
[03:03] 组建超级智能实验室，还耗资几百亿
[03:06] 美元招募行业内的人工智能专家。
[03:09] Meta今年的AI相关资本支出预计在
[03:11] 1200亿美金左右，接近去年的两倍。
[03:15] 不过Meta方面表示，他们的新模型
[03:17] Muse Spark在部分能力上还落后于
[03:20] OpenAI、Anthropic还有Google的产品，
[03:23] 尤其是编程和抽象推理方面。
[03:27] 星巴克中国宣布千店千面战略。
[03:30] 4月8号，星巴克中国宣布星巴克全球
[03:32] 与博睿资本的千店千面战略已经启动。
